"locality","zone_code","zone_name","zone_category"
"Danville","SR","Sandy River Residential","Residential"
"Danville","TR","Threshold Residential","Residential"
"Danville","SR","Suburban Residential","Residential"
"Danville","NTR","Neo-Traditional Residential","Residential"
"Danville","OTR","Old Town Residential","Residential"
"Danville","AR","Attached Residential","Residential"
"Danville","MR","Multi-family Residential","Residential"
"Danville","MHP","Manufactured Home Park","Residential"
"Danville","TOC","Transitional Office","Office/Commercial"
"Danville","NC","Neighborhood Commercial","Commercial"
"Danville","CBC","Central Business Commercial","Commercial"
"Danville","TWC","Tobacco Warehouse Commercial","Commercial"
"Danville","HRC","Highway Retail Commercial","Commercial"
"Danville","PSC","Planned Shopping Center Commercial","Commercial"
"Danville","LEDI","Light Economic Development","Industrial"
"Danville","CP1","Cyber Park One","Industrial"
"Danville","MI","Manufacturing","Industrial"
"Danville","HPO","Historic Preservation Overlay","Overlay"
"Danville","AO","Airport Overlay","Overlay"
"Danville","FPO","Floodplain Overlay","Overlay"
"Danville","PSCO","Planned Shopping Center Overlay","Overlay"
"Danville","CE","Casino Entertainment","Special"
"Danville","RDO","River District Overlay","Overlay"
