"locality","zone_code","zone_name","zone_category"
"Franklin County","A1","Agricultural District","Agricultural"
"Franklin County","RE","Residential Estates District","Residential"
"Franklin County","R1","Residential Suburban Subdivision District R-1","Residential"
"Franklin County","R2","Residential Suburban Subdivision District R-2","Residential"
"Franklin County","RC1","Residential Combined Subdivision District","Residential"
"Franklin County","C1","Residential Combined Subdivision District","Residential"
"Franklin County","RMF","Residential Multifamily District","Residential"
"Franklin County","RPD","Residential Planned Development District","Residential"
"Franklin County","B1","Business District, Limited","Commercial"
"Franklin County","B2","Business District, General","Commercial"
"Franklin County","GB","Business District, General","Commercial"
"Franklin County","M1","Industrial District, Light Industry","Industrial"
"Franklin County","M2","Industrial District, Heavy Industry","Industrial"
"Franklin County","PCD","Planned Commercial Development","Commercial"
"Franklin County","REP","Regional Enterprise Park District","Industrial"
"Franklin County","SML","Smith Mountain Lake Surface District","Overlay/Special"
"Franklin County","SM","Smith Mountain","Overlay/Special"
"Franklin County","POS","Parks/Open Space","Parks/Open Space"
"Franklin County","NZ","Not Zoned","Unzoned"
