"locality","zone_code","zone_name","zone_category"
"Henry County","A1","Agricultural District","Agricultural"
"Henry County","RR","Rural Residential District","Residential"
"Henry County","MR","Mixed Residential District","Residential"
"Henry County","SR","Suburban Residential District","Residential"
"Henry County","B3","Office and Professional District","Commercial"
"Henry County","B2","Neighborhood Commercial District","Commercial"
"Henry County","B1","General Commercial District","Commercial"
"Henry County","I2","Limited Industrial District","Industrial"
"Henry County","I1","Industrial District","Industrial"
"Henry County","GS","Government and Special Use District","Government/Special"
"Henry County","CO","Conservation Overlay District","Overlay"
"Henry County","AO","Airport Overlay District","Overlay"
