"locality","zone_code","zone_name","zone_category"
"Martinsville","R-E","Estate Residential District","Residential"
"Martinsville","R-N","Neighborhood Residential District","Residential"
"Martinsville","R-C","City Residential District","Residential"
"Martinsville","R-T","Residential Transitional District","Residential"
"Martinsville","C-N","Neighborhood Commercial District","Commercial"
"Martinsville","C-UB","Uptown Business District","Commercial"
"Martinsville","C-C","Corridor Commercial District","Commercial"
"Martinsville","ED-MA","Economic Development District-Medical and Academic","Economic Development"
"Martinsville","ED-G","Economic Development District-General","Economic Development"
"Martinsville","ED-I","Economic Development District-Intensive","Economic Development"
