"locality","zone_code","zone_name","zone_category"
"Pittsylvania County","A-1","Agricultural District","Agricultural"
"Pittsylvania County","RE","Residential Estates District","Residential"
"Pittsylvania County","R-1","Residential Suburban Subdivision District","Residential"
"Pittsylvania County","RC-1","Residential Combined Subdivision District","Residential"
"Pittsylvania County","RMF","Residential Multi-Family District","Residential"
"Pittsylvania County","RPD","Residential Planned Unit Development District","Residential"
"Pittsylvania County","MHP","Residential Manufactured Housing Park District","Residential"
"Pittsylvania County","B-1","Business District, Limited","Commercial"
"Pittsylvania County","B-2","Business District, General","Commercial"
"Pittsylvania County","M-1","Industrial District, Light Industry","Industrial"
"Pittsylvania County","M-2","Industrial District, Heavy Industry","Industrial"
"Pittsylvania County","C-1","Conservation District","Conservation"
"Pittsylvania County","DZ","Unknown/Other","Other"
